26.graph	10359	25	26	3	4	2	2	2	2	0.0014412403	0.0000946522	0	1000	ENSG00000088247
35.graph	10547	11	13	4	6	2	2	2	2	0.0010166168	0.0001263618	0	1000	ENSG00000130803
26.graph	9775	21	22	3	4	2	2	2	2	0.0013091564	0.0000967979	0	1000	ENSG00000169683
5.graph	7720	17	18	3	4	2	2	2	2	0.0011374950	0.0000932217	0	1000	ENSG00000136143
61.graph	2192	20	27	5	12	4	4	4	4	0.0020310879	0.0005962849	0	1000	ENSG00000170854
40.graph	1166	13	13	2	2	2	2	2	2	0.0009195805	0.0000617504	0	1000	ENSG00000171174
18.graph	6512	19	30	6	17	6	6	6	6	0.0305390358	0.0281674862	0	1000	ENSG00000134470
16.graph	9785	45	47	3	5	3	3	3	3	0.0022654533	0.0001425743	0	1000	ENSG00000266714
12.graph	8954	9	12	3	6	3	3	3	3	0.0010328293	0.0001688004	0	1000	ENSG00000167397
16.graph	9485	8	9	3	4	2	2	2	2	0.0008521080	0.0000946522	0	1000	ENSG00000161395
48.graph	4956	10	11	3	4	2	2	2	2	0.0008819103	0.0000948906	0	1000	ENSG00000269556
83.graph	8691	24	36	6	18	6	6	6	6	0.0351014137	0.0327732563	0	1000	ENSG00000122390
14.graph	9276	21	25	4	8	3	3	3	3	0.0015563965	0.0002458096	0	1000	ENSG00000007237
75.graph	6388	15	21	5	11	4	4	4	4	0.0016961098	0.0004401207	0	1000	ENSG00000110723
85.graph	5946	21	28	7	14	3	3	3	3	0.0017986298	0.0003294945	0	1000	ENSG00000165915
85.graph	5873	12	15	5	8	2	2	2	2	0.0011200905	0.0001564026	0	1000	ENSG00000166796
58.graph	11229	15	17	4	6	2	2	2	2	0.0011587143	0.0001294613	0	1000	ENSG00000182902
68.graph	3621	31	32	3	4	2	2	2	2	0.0016314983	0.0000946522	0	1000	ENSG00000204371
77.graph	3966	17	20	5	8	2	2	2	2	0.0012731552	0.0001599789	0	1000	ENSG00000164638
35.graph	4721	5	5	2	2	2	2	2	2	0.0006542206	0.0000636578	0	1000	ENSG00000189023
92.graph	11481	26	34	6	14	4	4	4	4	0.0025463104	0.0008172989	0	1000	ENSG00000196588
55.graph	7219	44	64	10	30	9	9	9	9	4.6433188915	4.5868654251	0	1000	ENSG00000166888
100.graph	5554	9	13	4	8	3	3	3	3	0.0011038780	0.0002057552	0	1000	ENSG00000174038
57.graph	3697	17	20	5	8	2	2	2	2	0.0012748241	0.0001578331	0	1000	ENSG00000156711
95.graph	10684	20	20	2	2	2	2	2	2	0.0011944771	0.0000629425	0	1000	ENSG00000127511
18.graph	10815	29	31	4	6	2	2	2	2	0.0016431808	0.0001208782	0	1000	ENSG00000104814
54.graph	3893	14	17	3	6	4	4	4	4	0.0015044212	0.0004210472	0	1000	ENSG00000123505
39.graph	9789	19	31	4	16	6	6	6	6	0.0197446346	0.0177154541	0	1000	ENSG00000181038
2.graph	9635	14	20	4	10	4	4	4	4	0.0017104149	0.0005335808	0	1000	ENSG00000120093
6.graph	7099	19	24	6	11	3	3	3	3	0.0016338825	0.0003750324	0	1000	ENSG00000134283
14.graph	6054	13	15	4	6	2	2	2	2	0.0010595322	0.0001256466	0	1000	ENSG00000110077
61.graph	1828	33	38	6	11	3	3	3	3	0.0021040440	0.0002341270	0	1000	ENSG00000144481
25.graph	3159	48	65	7	24	8	8	8	8	0.6064505577	0.5936903954	0	1000	ENSG00000153113
31.graph	7766	26	28	4	6	2	2	2	2	0.0015513897	0.0001313686	0	1000	ENSG00000139746
24.graph	2536	12	16	4	8	3	3	3	3	0.0011839867	0.0001974106	0	1000	ENSG00000173950
28.graph	3528	7	8	3	4	2	2	2	2	0.0007777214	0.0000996590	0	1000	ENSG00000181315
7.graph	3367	26	35	5	14	4	4	4	4	0.0024631023	0.0007655621	0	1000	ENSG00000055147
53.graph	936	10	12	4	6	2	2	2	2	0.0009329319	0.0001258850	0	1000	ENSG00000263961
11.graph	6300	30	34	4	8	3	3	3	3	0.0019102097	0.0002057552	0	1000	ENSG00000149262
24.graph	8663	15	20	4	9	3	3	3	3	0.0013632774	0.0002305508	0	1000	ENSG00000122386
44.graph	10674	17	19	4	6	2	2	2	2	0.0012164116	0.0001263618	0	1000	ENSG00000105607
62.graph	11189	12	17	5	10	3	3	3	3	0.0013048649	0.0002734661	0	1000	ENSG00000121417
90.graph	4157	21	27	6	12	3	3	3	3	0.0017654896	0.0003767014	0	1000	ENSG00000136279
8.graph	5747	23	25	4	6	2	2	2	2	0.0014433861	0.0001316071	0	1000	ENSG00000160271
80.graph	686	12	13	3	4	2	2	2	2	0.0009551048	0.0000946522	0	1000	ENSG00000143545
82.graph	4399	14	17	3	6	3	3	3	3	0.0012288094	0.0001697540	0	1000	ENSG00000106302
34.graph	2440	24	31	4	11	4	4	4	4	0.0021164417	0.0005781651	0	1000	ENSG00000114757
87.graph	1920	9	12	3	6	3	3	3	3	0.0010001659	0.0001661777	0	1000	ENSG00000196639
94.graph	7354	17	19	4	6	2	2	2	2	0.0012488365	0.0001275539	0	1000	ENSG00000165891
97.graph	10086	12	14	4	6	2	2	2	2	0.0010356903	0.0001246929	0	1000	ENSG00000166401
